sp	stat	naturalized	invasive	LA	SM	H	mpds	min	mpds_weighted	bio_1_native	bio_10_native	bio_11_native	bio_12_native	bio_13_native	bio_14_native	bio_15_native	bio_16_native	bio_17_native	bio_18_native	bio_19_native	bio_2_native	bio_3_native	bio_4_native	bio_5_native	bio_6_native	bio_7_native	bio_8_native	bio_9_native	year_p	Area_p	euclid_p	F_pres	nmi_p	bio_1_p	bio_10_p	bio_11_p	bio_12_p	bio_13_p	bio_14_p	bio_15_p	bio_16_p	bio_17_p	bio_18_p	bio_19_p	bio_2_p	bio_3_p	bio_4_p	bio_5_p	bio_6_p	bio_7_p	bio_8_p	bio_9_p
Macroptilium atropurpureum	nat	1	0	3330.085531	13.282	1.21	232.9900647	12.347622	8.202838188	22.53291502	25.22585783	19.47416472	1079.752669	212.4217082	16.29181495	87.69701217	554.9145907	60.22241993	330.6405694	117.3558719	12.93588404	65.67114837	236.1741384	32.43807732	12.22611042	20.21196689	24.30817852	21.35550324	97	450341.6668	8.578891755	15.46920333	0.623928701	3.979264498	2.910466975	5.111305255	-247.5347184	-35.19093778	-7.04822516	-4.149137574	-97.83766943	-22.69677849	-183.0892875	49.05438523	-2.722849994	3.79074486	-89.93125925	1.795255978	7.199530348	-5.40427455	2.409556624	4.932744529
Malpighia emarginata	exo	0	0	2429.490385	13.775	7	235.7011675	18.950048	17.77981642	24.70076185	26.75962335	22.3428506	1325.41958	232.5314685	25.68531469	73.25715716	612.9090909	96.18881119	367.6153846	262.6433566	11.13120402	69.09226643	183.1203698	32.77959258	16.12836088	16.65123172	26.02869225	23.59669951	111	560057.1556	9.220746169	5.522267568	0.739214625	2.332319033	1.970679983	2.961695064	-490.7226144	-30.9860126	-20.5337995	26.62808842	-96.30303678	-76.2494171	-243.9487174	-135.9766884	-0.571102949	0.419067383	-44.86561735	2.429498779	3.814063372	-1.384565047	1.222823056	2.977037723
Mangifera indica	inv	1	1	7854	14368.217	18.113	243.5509941	33.344339	8.516001886	25.88087665	30.02137443	21.42529551	1492.798851	418.2787356	4.896551724	113.3050667	998.9683908	28.97413793	292.1982759	258.0833333	10.7824812	49.79574571	345.637471	36.90803722	14.23532523	22.67271202	26.73031976	23.73404377	293	129977.77	7.16216217	23.69372531	0.497376123	0.244663505	-2.321683027	2.910661385	-636.9932967	-232.760218	5.659003772	-26.36403843	-522.8387623	11.50734369	-155.5130904	-106.9537041	-0.608098448	19.92960743	-207.1207507	-3.046926219	4.958193167	-8.005119446	-0.365350615	2.229227797
Manilkara zapota	exo	0	0	2211.859994	126.74	21.524	243.6043876	6.417373	9.240270137	25.09102202	27.07126678	22.61898716	1588.592593	285.537037	28.36111111	74.58064541	746.2623457	103.058642	418.537037	210.1358025	11.58931999	67.00291554	183.7762341	33.73282737	16.30036785	17.43245952	26.16839837	24.22147765	231	24539.14419	10.32792404	3.776002408	0.318064296	-0.02931548	-0.535552495	0.642917693	-675.7354585	-113.1084689	-12.6944444	-6.196645447	-299.5956805	-43.43959413	-247.3941788	-10.94532265	-2.22066914	2.381732379	-48.16066949	-1.599494441	2.223441585	-3.822936016	-0.881096624	0.753918646
Megathyrsus maximus	inv	1	1	1514.534557	1.008141649	1.310205996	254.5181786	28.3884	8.83496085	22.12897574	24.79024863	18.8249197	965.5827633	182.5731874	13.47058824	78.35072757	473.9384405	54.17647059	322.6183311	155.1586867	12.1082367	63.891934	247.6915114	31.1149228	11.64939579	19.465527	23.90531529	19.47593197	259	242890.8175	7.669828643	28.1797891	0.505692296	3.864788471	2.821429434	5.213402284	-129.3378672	-8.307880358	-2.001200475	1.480772188	-23.57109604	-9.122048628	-169.4482629	-24.5872573	-2.101774091	4.987464113	-100.2487552	2.5340567	7.381216357	-4.847159646	2.422575923	6.11715194
Melia azedarach	nat	1	0	981.75	1067.226	12.198	243.6443836	93.484964	8.525970763	21.8196554	27.31028552	15.95028482	1635.433594	323.8320313	36.0546875	78.80203325	809.0546875	132.1953125	476.2421875	230.5234375	9.569752457	45.88256782	463.0101277	33.29035593	9.889811409	23.40054455	24.90923781	17.84497978	236	52626.85389	6.440571706	17.53309573	0.685925255	3.582556606	-0.166664213	7.361855113	-847.569397	-171.3628947	-23.64728028	-2.838480912	-410.32629	-85.18296697	-298.2915719	-101.1036841	1.019856584	21.82783689	-305.6095165	0.217051366	7.952163909	-7.735112468	0.876976175	6.872304174
Melinis minutiflora	nat	1	0	848.58	0.096	0.758	254.8202375	28.388399	9.463278973	20.43630252	22.11225204	18.37478446	1414.553333	256.12	14.73333333	75.62280867	678.5866667	64.04	404.0266667	285.52	10.99273559	68.76655983	155.5048585	28.33134669	12.05634555	16.27500111	21.1268919	19.0719917	235	3175.819264	10.21536604	11.28707276	0.335270963	3.389024404	3.426963723	3.247437995	-589.5141236	-108.0611751	0.443137115	-6.686954378	-289.0376483	-6.687059104	-199.1247053	-155.4023523	-0.344042813	-1.173322121	5.191040149	3.558849269	4.131889616	-0.573040437	3.368859987	3.844675
Melinis repens	inv	1	1	369.69	0.303	0.55	254.5506095	28.388399	8.802120379	20.1870772	23.51929931	16.07490683	756.3077905	143.0063857	9.001277139	79.67434009	379.6756066	35.11877395	249.6002554	108.4572158	13.18651271	60.5380582	309.2163244	30.33898741	8.051180253	22.28780717	22.23084922	16.88672175	166	83957.83373	9.879377894	128.3240507	0.597987322	5.514007253	3.881537832	7.551653326	-2.339756458	23.19681006	-0.72730457	7.847838316	42.32667632	-2.80370543	-93.54089465	-0.107901042	-2.62338488	7.814143678	-154.7029221	3.459642713	10.22735856	-6.767715874	4.044264879	8.083902288
Mirabilis jalapa	nat	1	0	2048.684162	69.698	1.5	246.5205432	86.020247	9.23009005	19.95770771	22.78416439	16.60757078	976.45629	202.4200426	13.62686567	89.76447282	528.4754797	50.21535181	326.7334755	76.01918977	14.4478427	64.26314985	253.5120409	30.94333657	8.245739675	22.69759695	21.76281849	18.46044191	244	56642.18317	5.828814373	19.95567852	0.372328588	5.084836201	3.643905881	6.753247882	-21.19313208	-5.034079204	-1.644409565	-8.322649759	-18.77372804	-3.864474427	-173.4352275	166.5422126	-4.229714147	6.544872301	-126.9092787	1.549645489	9.768295299	-8.218649715	3.403848142	6.668797628
Momordica charantia	inv	1	1	3019	62.303	1.225	244.0202449	53.597432	8.134379318	24.55882435	27.51023415	21.1347604	1443.714964	287.7577197	18.11163895	83.55354767	733.1686461	74.13064133	425.8123515	216.0142518	9.765358404	59.10928345	260.0881026	33.32330457	15.2728927	18.05041188	25.74391934	22.31546099	244	182174.0892	13.39551973	42.58765667	0.477331853	1.733478027	0.4620663	3.19646029	-653.2806909	-114.9736817	-9.031826791	3.336686768	-293.4832003	-38.60247225	-288.8311307	-79.98373551	0.710521903	9.859490833	-110.6266673	0.987023897	3.790722318	-2.803698353	0.846925678	3.538647013
