sp	stat	naturalized	invasive	LA	SM	H	MPD	PDmin	MPDw	Bio 1 native	Bio 10 native	Bio 11 native	Bio 12 native	Bio 13 native	Bio 14 native	Bio 15 native	Bio 16 native	Bio 17 native	Bio 18 native	Bio 19 native	Bio 2 native	Bio 3 native	Bio 4 native	Bio 5 native	Bio 6 native	Bio 7 native	Bio 8 native	Bio 9 native	MRT	Area	Euclid	Pseudo-F	NMI	Bio 1 diff	Bio 10 diff	Bio 11 diff	Bio 12 diff	Bio 13 diff	Bio 14 diff	Bio 15 diff	Bio 16 diff	Bio 17 diff	Bio 18 diff	Bio 19 diff	Bio 2 diff	Bio 3 diff	Bio 4 diff	Bio 5 diff	Bio 6 diff	Bio 7 diff	Bio 8 diff	Bio 9 diff
Ipomoea_batatas	nat	1	0	9050	48.06155082	1.98	227.9698519	19.687487	16.06783383	23.2398695	25.00072046	21.13413672	1864.611905	331.1357143	30.83571429	76.24275673	864.4285714	114.3428571	451.4	275.5690476	11.15499663	69.02874428	158.8168607	31.40508513	14.94975981	16.45532535	24.06330333	22.4415542	386	675633.8237	8.144378203	6.642498308	0.230629836	0.601213787	0.013737836	1.216530039	-871.9244048	-127.1357143	-17.58571429	6.876108164	-330.8035714	-65.15535714	-272.025	-76.88154762	-1.401121579	4.747721136	-47.36779187	-0.871085446	2.3212404	-3.192325815	-0.261719684	1.327904097
Ipomoea_nil	exo	0	0	6151	36.267	1.5	230.2184653	15.463932	7.770093209	22.76512156	25.58395988	19.71688283	1251.035346	222.7098675	25.80265096	75.69600185	584.544919	92.74521355	372.4712813	175.7540501	12.05163966	64.99224312	241.2972186	32.16295918	12.93009564	19.23286354	24.51865602	21.12966469	193	824217.9604	7.901073349	43.31294398	0.461944881	1.013047989	-0.390563862	2.152991734	-509.5139786	-68.02610677	-15.97359113	4.850143918	-187.8611583	-53.97598278	-216.9242727	-32.60875093	-2.140309213	6.646272315	-102.1682305	-1.322275549	4.057938529	-5.380214086	-0.468211443	2.444078849
Ipomoea_wrightii	exo	0	0	1148.037937	48.06155082	1	226.9603009	9.303935	28.15879	20.31887498	27.08753063	13.00407044	1252.478261	168.2934783	54.2173913	39.87460785	446.3152174	186.9347826	310.7282609	269.9347826	12.05003505	47.37351998	573.6093912	33.61084146	6.08135193	27.5294894	20.58637131	21.52792182	153	819656.8515	4.661276396	40.99689869	0.425737564	3.934158466	-1.41655285	9.289707283	-558.8115942	-19.26014493	-46.78405797	42.383211	-71.64855072	-155.4014493	-139.0949275	-177.7681159	-1.389501682	24.53395784	-432.486888	-2.003641474	10.70184818	-12.70548952	4.208917663	1.916344757
Jacquemontia_pentanthos	exo	0	0	3485.131906	4.9841875	0.741611242	229.9040581	20.005468	8.048972796	24.5167313	26.65255334	21.97048569	1368.142857	240.2285714	27.6031746	71.65063877	635.9238095	100.9206349	405.9777778	204.4761905	11.70093324	68.16729923	193.6277932	33.12289721	15.45887195	17.66402531	25.89865027	23.14711977	256	836458.709	24.3396628	46.73191346	0.466418214	-0.754771833	-1.485105764	-0.119386638	-635.9446589	-84.03037323	-19.0986701	11.38601548	-238.6895753	-66.65036465	-241.3111111	-91.35907336	-1.556005323	3.847850653	-55.39823893	-2.220086224	1.336155135	-3.556241402	-1.539340964	0.215811117
Jacquemontia_tamnifolia	exo	0	0	2971.987184	4.239	0.648052303	229.5614919	20.005467	8.626171001	19.8277937	26.46511648	12.72504687	1436.737401	185.5888594	64.47480106	33.48891605	502.6352785	225.1870027	372.4801061	348.3129973	12.2162056	48.30017812	559.0673507	32.95835397	5.883147238	27.07520673	19.53343557	20.64243002	203	816532.1605	7.187523975	34.7375086	0.628326761	5.697639772	0.180705663	11.53526426	-474.4707339	28.21114058	-58.74146773	59.03410132	51.56472149	-200.1870027	-220.3467728	-148.1129973	-1.968227709	26.93401682	-460.5436368	-0.577020559	12.83098621	-13.40800677	5.838164518	4.821347899
Kalanchoe_pinnata	nat	1	0	8631.205642	0.060076	0.557333516	250.869746	187.1540707	9.715007963	22.74974889	24.48551515	20.37802392	1478.961538	332.6923077	23.15384615	93.15274341	839.8076923	88.15384615	676.5384615	116.6538462	10.89376958	69.44461602	173.7212102	30.11496867	14.38860145	15.72636718	24.33308044	20.91641613	148	803286.0242	7.106812922	8.08128421	0.165468554	2.21398342	1.686235051	3.046922731	-542.9615385	-132.6923077	-12.93956044	-6.462863587	-318.0934066	-49.08241758	-542.967033	86.2032967	-0.799166378	4.369053998	-59.19713454	1.681340804	3.68700585	-2.005665009	0.315294392	3.887076006
Lantana_camara	inv	1	1	1042.65	8.01	2.785	226.2652981	8.787991	7.523069499	21.72376157	24.72076512	18.40096366	1407.13112	228.1979253	39.3340249	62.1934708	604.1452282	140.8908714	394.1497925	257.3983402	11.41109854	63.47074331	259.4860437	30.9951212	11.97256128	19.02255991	23.3883594	20.0822158	256	830771.6915	13.45627684	99.75254924	0.651978534	2.074319309	0.433562057	3.54290595	-631.4759479	-65.4953391	-29.64005938	19.64005929	-186.5245386	-102.7917334	-217.080827	-129.8121334	-1.281010684	8.588473996	-125.3716257	-0.123676052	4.823744173	-4.947420239	0.817292224	3.244239801
Leonotis_nepetifolia	inv	1	1	2467.842791	1.337	0.853285104	226.9832087	57.151536	7.605968292	19.32966378	21.06944622	17.0723051	928.8644068	175.4745763	20.6440678	73.66433787	429.0677966	80.3559322	263.3728814	147.9491525	12.94058197	71.70525108	165.3722035	28.55206784	10.0031186	18.54894931	20.30546896	17.58715259	209	799966.8224	6.402244664	45.59170659	0.351679576	4.776609644	4.434091577	5.153303779	-183.7310734	-20.0079096	-11.95073446	8.313657431	-31.34779661	-44.86259887	-102.1462147	-20.61581921	-2.367830859	0.581181721	-28.97295759	2.919185519	6.853041509	-3.93385605	4.141082118	6.071576247
Lepidium_ruderale	nat	1	0	63.91	0.198	0.153	242.9173739	14.022192	11.41871327	9.387577793	17.26178682	1.787112264	750.6794872	86.5534188	43.14957265	22.20886085	238.6723647	144.230057	210.2884615	174.1730769	8.322784433	33.43625605	633.0209407	23.3118641	-1.806317758	25.11818189	12.41825772	5.819457624	179	267060.609	5.957545837	67.13611884	-0.144706182	12.82770792	6.340689571	18.37745895	-25.10805861	44.87515263	-29.72100122	44.78521983	101.4704925	-90.94434269	6.282967033	-49.74450549	1.524453699	38.59499613	-488.7876883	5.748707295	17.20860333	-11.45989606	10.70536136	15.92663749
Leucaena_leucocephala	inv	1	1	49.07	43.478	3.204	230.4467521	51.406765	7.623887045	22.99584967	26.59096737	18.96216319	1031.718593	193.3551089	23.38525963	76.36709517	502.6231156	85.37855946	338.1005025	127.1892797	12.63375409	60.18619317	313.8684638	33.45603428	11.79546875	21.66056552	24.9680115	21.48857207	193	668924.2481	14.57815341	22.60003699	0.526863945	1.36986193	-0.958100065	3.746562134	-166.2083889	-6.253068061	-15.26281065	10.98462646	-22.86801354	-52.23570232	-158.5086658	21.70867945	-2.447590639	13.08100675	-192.0301703	-2.101111345	5.625720612	-7.726831947	-0.257975402	2.590529959
